,ST166Q02HA,ST166Q05HA,ST216Q01HA,ST216Q02HA,ST216Q03HA,FL167Q01HA,FL167Q02HA,FL167Q04HA,GRADE,MISCED,FISCED,BMMJ1,BFMJ2,BSMJ,literacy,sisced
76219,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,0.0,2.0,2.0,40.54,18.07,76.65,527.6781,6.0
76220,6.0,6.0,2.0,1.0,1.0,2.0,2.0,3.0,0.0,4.0,6.0,24.98,52.72,86.72,549.7819999999999,6.0
76221,6.0,6.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,84.61,81.92,77.1,653.2253999999999,6.0
76225,6.0,6.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,6.0,6.0,82.41,85.85,70.34,595.6533,6.0
76226,6.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,16.38,39.04,78.69,572.1652000000001,6.0
76227,6.0,6.0,2.0,2.0,2.0,4.0,3.0,4.0,-2.0,1.0,1.0,28.48,25.95,30.78,370.5179999999999,5.0
76229,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,-3.0,6.0,2.0,24.53,25.95,62.45,384.0752,6.0
76230,1.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,0.0,6.0,5.0,55.25,41.27,68.7,590.4469000000001,6.0
76231,3.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,4.0,6.0,39.04,65.01,85.85,554.0554,6.0
76232,4.0,2.0,4.0,3.0,5.0,4.0,4.0,3.0,0.0,5.0,6.0,39.02,79.74,85.85,530.0451999999999,6.0
76234,1.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,0.0,4.0,4.0,71.39,71.39,70.34,634.0529999999999,6.0
76236,6.0,6.0,3.0,1.0,5.0,4.0,4.0,4.0,0.0,4.0,2.0,57.03,51.5,84.14,580.0791,6.0
